stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
EZZLINe,EZZLINe,EZZARD CHARLES DR & LINN ST,,39.109286,-84.527882,,,,,0
EZZLINw,EZZLINw,EZZARD CHARLES DR & LINN ST,,39.109287,-84.52759,,,,,0
MADDAWi,MADDAWi,MADEIRA DAWSON RD LAYOVER,DAWSON RD & MONTGOMERY RD,39.187738,-84.364222,,,,,0
MONKENi,MONKENi,MONTGOMERY RD & KENWOOD RD,,39.19881,-84.381016,,,,,0
MONKNNi,MONKNNi,MONTGOMERY RD & KENNEDY AVE,,39.188925,-84.41332,,,,,0
MONLESi,MONLESi,MONTGOMERY RD & LESTER RD,,39.180932,-84.431806,,,,,0
SYCCOUi,SYCCOUi,SYCAMORE ST & COURT ST,SYCAMORE ST & CENTRAL PKWY,39.106854,-84.509507,,,,,0
MONLESo,MONLESo,MONTGOMERY RD & LESTER RD,,39.180816,-84.431689,,,,,0
MONMCHo,MONMCHo,MONTGOMERY RD & MCHUGH PL,,39.188969,-84.412701,,,,,0
MONKENo,MONKENo,MONTGOMERY RD & KENWOOD RD,,39.198721,-84.380724,,,,,0
MONPFEi,MONPFEi,MONTGOMERY RD & PFEIFFER RD,,39.249175,-84.344819,,,,,0
BLUCOOi,BLUCOOi,BLUE ASH AVE & COOPER RD,,39.231376,-84.378969,,,,,0
BLUCOOo,BLUCOOo,BLUE ASH AVE & COOPER RD,,39.231225,-84.378806,,,,,0
MONPFEo,MONPFEo,MONTGOMERY RD & PFEIFFER RD,,39.248853,-84.344702,,,,,0
RAYWALi,RAYWALi,UC BLUE ASH,PLAINFIELD RD & WICKLOW AVE,39.233855,-84.398972,,,,,0
MONROSi,MONROSi,MONTGOMERY RD & ROSS AVE,MONTGOMERY RD & BUXTON AVE,39.167699,-84.453102,,,,,0
MONDANi,MONDANi,MONTGOMERY RD & DANA AVE,,39.146371,-84.467916,,,,,0
PEECORi,PEECORi,PEEBLES CORNER,GILBERT AVE & E MCMILLAN ST,39.125815,-84.490532,,,,,0
REAELSi,REAELSi,READING RD & ELSINORE PL,READING RD & CITY STEPS,39.112256,-84.503175,,,,,0
MONDANo,MONDANo,MONTGOMERY RD & DANA AVE,MONTGOMERY RD & RUTLAND AVE,39.146139,-84.467857,,,,,0
MONROSo,MONROSo,MONTGOMERY RD & ROSS AVE,,39.167761,-84.452845,,,,,0
HARWESi,HARWESi,HARRISON AVE & WESTWOOD AVE,,39.125285,-84.548356,,,,,0
QCHa,QCHa,HARRISON AVE & QUEEN CITY AVE,,39.12607,-84.548684,,,,,0
DRAWAYi,DRAWAYi,DRAGON WAY LAYOVER,,39.140444,-84.393916,,,,,0
KENLOOi,KENLOOi,KENWOOD LOOP LAYOVER,KENWOOD RD & MADISON RD,39.160454,-84.385367,,,,,0
RIDBROi,RIDBROi,RIDGE RD & BROTHERTON RD,RIDGE AVE & MARBURG AVE,39.153575,-84.423118,,,,,0
MADBROi,MADBROi,MADISON RD & BROTHERTON RD,MADISON RD & APPLETON ST,39.154361,-84.428257,,,,,0
MADOBSi,MADOBSi,MADISON RD & OBSERVATORY AVE,,39.138165,-84.455056,,,,,0
8THWALi,8THWALi,8TH ST & WALNUT ST,E 8TH ST & WALNUT ST,39.104836,-84.511653,,,,,0
MADOBSo,MADOBSo,MADISON RD & OBSERVATORY AVE,MADISON RD & DANA AVE,39.138647,-84.453959,,,,,0
MADBROo,MADBROo,MADISON RD & BROTHERTON RD,MADISON RD & APPLETON ST,39.15429,-84.428035,,,,,0
RIDMAPo,RIDMAPo,RIDGE RD & MAPLE DR,RIDGE AVE & BROTHERTON RD,39.153254,-84.42292,,,,,0
KENLOOo,KENLOOo,on KENWOOD at LOOP LAYOVER,KENWOOD RD & MADISON RD,39.160606,-84.385682,,,,,0
HILTOPi,HILTOPi,HILLTOP PLAZA LAYOVER,HAMILTON AVE & Hilltop Plaza,39.241502,-84.546923,,,,,0
DALNORi,DALNORi,DALY RD & NORTH BEND RD,DALY RD & W NORTH BEND RD,39.202326,-84.532371,,,,,0
WINSTRi,WINSTRi,WINNESTE & STRAND LN,WINNESTE AVE & STRAND LN,39.187349,-84.514708,,,,,0
SPRWINi,SPRWINi,SPRING GROVE AVE & WINTON RD,,39.165048,-84.520769,,,,,0
KNLCORi,KNLCORi,SPRING GROVE AVE & HAMILTON AVE,SPRING GROVE AVE & COSBY ST,39.158574,-84.539239,,,,,0
BANDALi,BANDALi,BANK ST & DALTON AVE,,39.119764,-84.536183,,,,,0
KNLCORo,KNLCORo,HAMILTON AVE & SPRING GROVE AVE,HAMILTON AVE & Spring Grove,39.158984,-84.539321,,,,,0
SPRWINo,SPRWINo,SPRING GROVE AVE & WINTON RD,,39.165334,-84.520267,,,,,0
WINSTRo,WINSTRo,WINNESTE AVE & STRAND LN,,39.187126,-84.514509,,,,,0
NORDALo,NORDALo,NORTH BEND RD & DALY RD,W NORTH BEND RD & TAHITI DR,39.202148,-84.532056,,,,,0
HILTOPo,HILTOPo,HILLTOP PLAZA - HAMILTON AVE,HAMILTON AVE & Hilltop Plaza,39.241484,-84.546923,,,,,0
HAMMERi,HAMMERi,HAMILTON AVE & MEREDITH DR,,39.244054,-84.547255,,,,,0
PERCOMi,PERCOMi,PERRY ST & COMPTON RD, Unit COMPTON & Compton,39.232187,-84.546886,,,,,0
CLIMCMo,CLIMCMo,CLIFTON AVE & MCMILLAN ST,CLIFTON AVE & W MCMILLAN ST,39.127708,-84.519126,,,,,0
HAMNORo,HAMNORo,HAMILTON AVE & NORTH BEND RD,,39.202697,-84.547635,,,,,0
HAMMERo,HAMMERo,HAMILTON AVE & MEREDITH DR,,39.243831,-84.547126,,,,,0
COLGALi,COLGALi,COLERAIN AVE & GALBRAITH RD,COLERAIN RD & W GALBRAITH RD,39.221001,-84.586556,,,,,0
COLNORi,COLNORi,COLERAIN AVE & NORTH BEND RD,COLERAIN AVE & W NORTH BEND RD,39.19079,-84.570356,,,,,0
COLNORo,COLNORo,COLERAIN AVE & NORTH BEND RD,COLERAIN AVE & W NORTH BEND RD,39.190995,-84.570251,,,,,0
CHEJESo,CHEJESo,CHEVIOT RD & JESSUP RD,,39.199069,-84.600861,,,,,0
TCMALLi,TCMALLi,TRI COUNTY MALL - NEAR DILLARDS,E KEMPER RD,39.293738,-84.46336,,,,,0
WINFARi,WINFARi,WINTON RD & FARRAGUT RD,WINTON RD & CROMWELL RD,39.267325,-84.523463,,,,,0
WINHEMi,WINHEMi,WINTON RD & HEMPSTEAD DR,,39.223635,-84.517074,,,,,0
WINHEMo,WINHEMo,WINTON RD & HEMPSTEAD DR,,39.223368,-84.517015,,,,,0
WINFARo,WINFARo,WINTON RD & FARRAGUT RD,WINTON RD & CROMWELL RD,39.266986,-84.523287,,,,,0
WINKEMo,WINKEMo,WINTON RD & KEMPER RD,WINTON RD & W KEMPER RD,39.288686,-84.523044,,,,,0
HARMCHi,HARMCHi,HARRISON AVE & MCHENRY AVE,,39.140491,-84.58062,,,,,0
MOHCENi,MOHCENi,MOHAWK PL & CENTRAL PKWY,,39.119915,-84.524732,,,,,0
MOHCENo,MOHCENo,MOHAWK PL & CENTRAL PKWY,,39.120022,-84.524954,,,,,0
HARMCHo,HARMCHo,HARRISON AVE & MCHENRY AVE,,39.140652,-84.580527,,,,,0
HARGLEo,HARGLEo,HARRISON AVE & GLENMORE AVE,HARRISON AVE & FABER AVE,39.15637,-84.610902,,,,,0
FPP&Ri,FPP&Ri,Forest Park Park & Ride,KEMPER MEADOW DR & HALL RD,39.293764,-84.522758,,,,,0
KEMSPRi,KEMSPRi,KEMPER RD at OHIO ROUTE 4,KEMPER RD & OH-4,39.286914,-84.485319,,,,,0
KEMTRIi,KEMTRIi,KEMPER RD & TRI COUNTY PKWY,E KEMPER RD & TRI COUNTY PKWY,39.287429,-84.462316,,,,,0
CHEKEMi,CHEKEMi,CHESTER RD & KEMPER RD,,39.283899,-84.443174,,,,,0
CHEKEMo,CHEKEMo,CHESTER RD & KEMPER RD,,39.28422,-84.442928,,,,,0
KEMTRIo,KEMTRIo,KEMPER RD & TRI COUNTY PKWY,E KEMPER RD & TRI COUNTY PKWY,39.287608,-84.462398,,,,,0
SALBEAi,SALBEAi,SALEM RD & BEACON RD,,39.074789,-84.383302,,,,,0
BEECORi,BEECORi,BEECHMONT AVE & CORBLY ST,BEECHMONT AVE & OXFORD PL,39.093876,-84.386953,,,,,0
LINDELn,LINDELn,MT LOOKOUT SQ - LINWOOD AVE & DELTA,SR 561 & EMPRESS ST,39.129735,-84.430209,,,,,0
MLKREAi,MLKREAi,MARTIN LUTHER KING DR & READING RD,E MARTIN LUTHER KING JR DR & READING RD,39.134913,-84.497113,,,,,0
LIBSYCo,LIBSYCo,LIBERTY ST & SYCAMORE ST,E LIBERTY ST & SYCAMORE ST,39.11251,-84.511089,,,,,0
AUBMCMo,AUBMCMo,AUBURN AVE & MCMILLAN ST,AUBURN AVE & KINSEY AVE,39.127019,-84.508279,,,,,0
MLKREAo,MLKREAo,MARTIN LUTHER KING DR & READING RD,E MARTIN LUTHER KING JR DR & READING RD,39.134752,-84.497078,,,,,0
LINDELs,LINDELs,MT LOOKOUT SQ - LINWOOD AVE & DELTA,LINWOOD AVE & MONTEITH AVE,39.128084,-84.430244,,,,,0
BEECORo,BEECORo,BEECHMONT AVE & CORBLY ST,,39.094081,-84.387174,,,,,0
ANDP&Ro,ANDP&Ro,ANDERSON PARK & RIDE - BEECHMONT AV,BEECHMONT AVE & WITT RD,39.07377,-84.336066,,,,,0
HPPi,HPPi,HYDE PARK PLAZA MAIN ENTRANCE,PAXTON AVE & FERDINAND PL,39.14634,-84.429729,,,,,0
COLDELi,COLDELi,COLUMBIA PKWY & DELTA AVE,,39.117235,-84.43914,,,,,0
COLDELo,COLDELo,COLUMBIA PKWY & DELTA AVE,,39.116994,-84.438988,,,,,0
HPPo,HPPo,HYDE PARK PLAZA MAIN ENTRANCE,PAXTON AVE & FERDINAND PL,39.146313,-84.42946,,,,,0
CASEYi,CASEYi,CASEY DR LAYOVER,,39.178016,-84.548672,,,,,0
BEEDREi,BEEDREi,BEEKMAN ST & DREMAN AVE,,39.153621,-84.550631,,,,,0
BEEHOPi,BEEHOPi,BEEKMAN ST & HOPPLE ST,BEEKMAN ST & WOODBURN AVE,39.137892,-84.548621,,,,,0
BEEHOPo,BEEHOPo,BEEKMAN ST & HOPPLE ST,BEEKMAN ST & YONKERS AVE,39.138026,-84.548457,,,,,0
BEEDREo,BEEDREo,BEEKMAN ST & DREMAN AVE,,39.153246,-84.550525,,,,,0
CASEYo,CASEYo,CASEY DR LAYOVER,CASEY DR & CALVERT ST,39.178008,-84.548648,,,,,0
MOHKIRi,MOHKIRi,MOHAWK TRL,MOHAWK TL,39.175374,-84.279115,,,,,0
WOOGIVi,WOOGIVi,WOOSTER PIKE & GIVEN RD,,39.165816,-84.308887,,,,,0
MMINNi,MMINNi,MARIEMONT INN - WOOSTER PK,WOOSTER PIKE,39.145246,-84.375112,,,,,0
EASARCi,EASARCi,EASTERN AVE & ARCHER AVE,RAMP & EASTERN AVE,39.12562,-84.412814,,,,,0
EASDELi,EASDELi,EASTERN AVE & DELTA AVE,EASTERN AVE & BUTTERFIELD ALY,39.11645,-84.439467,,,,,0
RIVBAIi,RIVBAIi,RIVERSIDE & BAINS ST,EASTERN AVE & BAINS ST,39.111397,-84.489646,,,,,0
RIVBAIo,RIVBAIo,RIVERSIDE & BAINS ST,EASTERN AVE & COLLARD ST,39.110968,-84.489727,,,,,0
EASDELo,EASDELo,EASTERN AVE & DELTA AVE,EASTERN AVE & BUTTERFIELD ALY,39.116343,-84.439642,,,,,0
EASARCo,EASARCo,EASTERN AVE & ARCHER AVE,EASTERN AVE & RAMP,39.125424,-84.412686,,,,,0
WOOGIVo,WOOGIVo,WOOSTER PIKE & GIVEN RD,,39.165352,-84.309308,,,,,0
NAGCLOi,NAGCLOi,NAGEL RD & CLOUGH RD,,39.088613,-84.33062,,,,,0
6THSYCi,6THSYCi,6TH ST & SYCAMORE ST,,39.103268,-84.50836,,,,,0
8MIBEEn,8MIBEEn,EIGHT MILE RD & BEECHMONT AVE,EIGHT MILE RD & SR 125,39.072706,-84.32243,,,,,0
MCMVINe,MCMVINe,MCMILLAN ST & VINE ST,W MCMILLAN ST & VINE ST,39.127276,-84.512003,,,,,0
MCMGILe,MCMGILe,PEEBLES CORNER - MCMILLAN & GILBERT,E MCMILLAN ST & GILBERT AVE,39.125807,-84.48933,,,,,0
RUTMONe,RUTMONe,RUTLAND AVE & MONTGOMERY RD,RUTLAND AVE & Montgomery,39.145524,-84.468278,,,,,0
TAFVINw,TAFVINw,TAFT RD & VINE ST,WILLIAM H TAFT RD & CALHOUN ST,39.128035,-84.511012,,,,,0
CALCLIw,CALCLIw,CALHOUN ST & CLIFTON AVE,CALHOUN ST & CORBETT DR,39.1286,-84.519594,,,,,0
STA8THo,STA8THo,STATE AVE & 8TH ST,STATE AVE & HATMAKER ST,39.104679,-84.553506,,,,,0
BENDERi,BENDERi,BENDER RD LAYOVER,,39.102632,-84.654608,,,,,0
DELANDEi,DELANDEi,DELHI RD & ANDERSON FERRY RD,,39.093706,-84.618417,,,,,0
8THDEPi,8THDEPi,8TH ST & DEPOT ST,W 8TH ST & 8TH ST,39.105108,-84.552071,,,,,0
8THSTAo,8THSTAo,8TH ST & STATE AVE,W 8TH ST & SR 264,39.105366,-84.552923,,,,,0
SIDSYLo,SIDSYLo,SIDNEY AVE & SYLVED LN,,39.126794,-84.62191,,,,,0
GLEPARo,GLEPARo,GLENWAY AVE & PARKCREST LN,,39.145634,-84.624399,,,,,0
DELMTAEo,DELMTAEo,DELHI RD & MT ALVERNO RD,,39.094441,-84.615957,,,,,0
GLECLEi,GLECLEi,GLENWAY AVE & CLEVES WARSAW PIKE,Glenway & Cleves-Warsaw,39.118536,-84.599464,,,,,0
MONANAe,MONANAe,MONTANA AVE & ANACONDA DR,,39.15355,-84.584021,,,,,0
MONANAw,MONANAw,MONTANA AVE & ANACONDA DR,,39.153915,-84.58394,,,,,0
WNBBOUi,WNBBOUi,WESTWOOD NORTHERN BLVD & BOUDINOT,WESTWOOD NORTHERN BLVD & BOUDINOT AVE,39.162361,-84.60149,,,,,0
NORWINe,NORWINe,NORTH BEND RD & WINTON RD,W NORTH BEND RD & WINTON RD,39.201238,-84.520426,,,,,0
SEYREAe,SEYREAe,SEYMOUR AVE & READING RD,,39.189058,-84.463086,,,,,0
LOSMONe,LOSMONe,LOSANTIVILLE AVE & MONTGOMERY RD,LOSANTIVILLE AVE & MONTWOOD ALY,39.181878,-84.429095,,,,,0
WOOMONw,WOOMONw,WOODFORD RD & MONTGOMERY RD,WOODFORD RD & LOSANTIVILLE AVE,39.18161,-84.428675,,,,,0
SEYREAw,SEYREAw,SEYMOUR AVE & READING RD,,39.189771,-84.463881,,,,,0
MePR,MePR,Meijers Park & Ride,Meijers & Northwest Parking Lot,39.356411,-84.378989,,,,,0
WILWYOi,WILWYOi,WILLIAMS AVE & WYOMING AVE,,39.224767,-84.452508,,,,,0
ESTELAY,ESTELAY,ESTE AVE LAYOVER,,39.195071,-84.489872,,,,,0
DUTWINi,DUTWINi,DUTCH COLONY DR & WINTON RIDGE LN,,39.190415,-84.519864,,,,,0
MITVINi,MITVINi,MITCHELL AVE & VINE ST,W MITCHELL AVE & E MITCHELL AVE,39.160418,-84.504902,,,,,0
LANREAi,LANREAi,LANGDON FARM RD & READING RD,,39.183989,-84.463446,,,,,0
BHGi,BHGi,BOND HILL GARAGE - PADDOCK RD,PADDOCK RD & RAMP,39.172065,-84.478313,,,,,0
REACLIi,REACLIi,READING RD & CLINTON SPRINGS AVE,,39.153772,-84.483172,,,,,0
REALINi,REALINi,READING RD & LINCOLN AVE,READING RD & E UNIVERSITY AVE,39.133021,-84.497205,,,,,0
REAELSo,REAELSo,READING RD & ELSINORE PL,READING RD & CITY STEPS,39.112461,-84.502813,,,,,0
REALINo,REALINo,READING RD & LINCOLN AVE,,39.132825,-84.497134,,,,,0
